BuildTreeFromTemplateTime,ChunkId,ChunkSize,Compressor,File,MatchTemplateTime,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
0.001971,16,16K,gzip,HDFS,0.019232,0.003451,0.00242,16337,2271.0,6024.0,0.334068,0.317978,0.045999,5666,5,158,6095
0.001971,16,16K,deflate,HDFS,0.019232,0.008938,0.005545,16337,2363.0,16059.0,0.629569,0.637278,0.045999,5666,5,158,6095
0.001971,16,16K,lz4,HDFS,0.019232,0.003903,0.003844,16337,3716.0,6964.0,0.342031,0.363232,0.045999,5666,5,158,6095
0.001971,23,16K,gzip,HDFS,0.017533,0.00359,0.002706,16261,2541.0,7236.0,0.399962,0.409754,0.045455,3919,6,215,8126
0.001971,23,16K,deflate,HDFS,0.017533,0.009249,0.008031,16261,2713.0,19302.0,0.744635,0.732081,0.045455,3919,6,215,8126
0.001971,23,16K,lz4,HDFS,0.017533,0.003005,0.002906,16261,4063.0,8177.0,0.421465,0.433099,0.045455,3919,6,215,8126
0.001971,8,16K,gzip,HDFS,0.018967,0.003299,0.002339,16250,2271.0,6083.0,0.328963,0.331991,0.045735,5469,5,156,6225
0.001971,8,16K,deflate,HDFS,0.018967,0.009475,0.008235,16250,2393.0,16109.0,0.617349,0.646704,0.045735,5469,5,156,6225
0.001971,8,16K,lz4,HDFS,0.018967,0.004034,0.002914,16250,3775.0,7072.0,0.3309,0.364507,0.045735,5469,5,156,6225
0.001971,19,16K,gzip,HDFS,0.022143,0.003566,0.002893,16238,2287.0,6458.0,0.364552,0.36323,0.049416,3655,5,190,8344
0.001971,19,16K,deflate,HDFS,0.022143,0.009858,0.00623,16238,2499.0,17331.0,0.672672,0.666241,0.049416,3655,5,190,8344
0.001971,19,16K,lz4,HDFS,0.022143,0.002798,0.002684,16238,3776.0,7482.0,0.363682,0.39451,0.049416,3655,5,190,8344
0.001971,15,16K,gzip,HDFS,0.018815,0.003571,0.002802,16250,2485.0,7184.0,0.408424,0.427951,0.046879,5083,7,179,6492
0.001971,15,16K,deflate,HDFS,0.018815,0.009167,0.00584,16250,2625.0,19746.0,0.762208,0.780801,0.046879,5083,7,179,6492
0.001971,15,16K,lz4,HDFS,0.018815,0.004528,0.004318,16250,4110.0,8179.0,0.423467,0.452699,0.046879,5083,7,179,6492
0.001971,12,16K,gzip,HDFS,0.022788,0.003288,0.002355,16328,2210.0,5922.0,0.332122,0.349982,0.049796,5488,5,147,5967
0.001971,12,16K,deflate,HDFS,0.022788,0.00947,0.007642,16328,2334.0,15960.0,0.617886,0.645465,0.049796,5488,5,147,5967
