AverageLoadingTime,Dataset,Repeat
0.0013051000000000002,HDFS,10
0.005556,Hadoop,10
0.057542800000000005,Spark,10
0.0013315,Zookeeper,10
0.0123112,BGL,10
0.3791696,HPC,10
6.072176300000001,Thunderbird,10
0.6464994,Windows,10
0.0036223000000000006,Linux,10
3.7422136999999998,Android,10
0.0268061,HealthApp,10
0.0005870999999999999,Apache,10
0.0017061999999999997,Proxifier,10
0.0009933,OpenSSH,10
0.0538995,OpenStack,10
0.29091140000000004,Mac,10
