ChunkId,ChunkSize,Compressor,File,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
60,16K,lz4,Thunderbird,0.014802,0.014966,16320,1924.0,13122.0,5.699049,5.739271,8.653708,4584,12,42,7022
5,16K,gzip,Thunderbird,0.01331,0.014365,16318,1121.0,2301.0,0.677272,0.70595,6.129036,6223,7,5,2331
5,16K,deflate,Thunderbird,0.020364,0.017681,16318,1202.0,7355.0,0.835888,0.831412,6.129036,6223,7,5,2331
5,16K,lz4,Thunderbird,0.014927,0.013806,16318,1739.0,2618.0,0.702463,0.700996,6.129036,6223,7,5,2331
65,16K,gzip,Thunderbird,0.013195,0.014783,16274,2280.0,5800.0,1.928786,1.957868,6.068616,5150,64,48,1182
65,16K,deflate,Thunderbird,0.017863,0.020481,16274,2360.0,19632.0,2.384505,2.396687,6.068616,5150,64,48,1182
65,16K,lz4,Thunderbird,0.016031,0.013699,16274,3374.0,5106.0,1.974104,1.983316,6.068616,5150,64,48,1182
0,16K,gzip,Thunderbird,0.013282,0.014522,16262,2365.0,15859.0,5.742414,5.789539,8.295121,6832,54,66,1705
0,16K,deflate,Thunderbird,0.016614,0.017738,16262,2462.0,55422.0,7.09764,7.045916,8.295121,6832,54,66,1705
0,16K,lz4,Thunderbird,0.017442,0.014876,16262,3602.0,12092.0,5.835958,5.922238,8.295121,6832,54,66,1705
89,16K,gzip,Thunderbird,0.014055,0.014132,16345,2802.0,11776.0,4.24112,4.232139,8.103078,5993,77,120,1739
89,16K,deflate,Thunderbird,0.019175,0.018545,16345,2885.0,40963.0,5.192267,5.216003,8.103078,5993,77,120,1739
89,16K,lz4,Thunderbird,0.014753,0.014067,16345,4071.0,9215.0,4.311463,4.292172,8.103078,5993,77,120,1739
61,16K,gzip,Thunderbird,0.013231,0.013797,16285,3004.0,15714.0,5.762813,5.828941,6.531972,5751,83,115,1790
61,16K,deflate,Thunderbird,0.018475,0.019318,16285,3089.0,55657.0,7.159149,7.103549,6.531972,5751,83,115,1790
61,16K,lz4,Thunderbird,0.014852,0.015431,16285,4292.0,12115.0,5.833392,5.894246,6.531972,5751,83,115,1790
74,16K,gzip,Thunderbird,0.013429,0.013842,16305,1726.0,3448.0,0.791641,0.787598,6.036705,3755,2,4,2620
74,16K,deflate,Thunderbird,0.018888,0.017661,16305,1720.0,9089.0,0.961832,0.972973,6.036705,3755,2,4,2620
74,16K,lz4,Thunderbird,0.01745,0.018709,16305,2980.0,4655.0,0.820913,0.816301,6.036705,3755,2,4,2620
12,16K,gzip,Thunderbird,0.013245,0.014326,16272,1821.0,4170.0,1.132782,1.130116,6.470206,4660,7,48,2324
12,16K,deflate,Thunderbird,0.020753,0.018165,16272,1879.0,12233.0,1.37534,1.410531,6.470206,4660,7,48,2324
12,16K,lz4,Thunderbird,0.016501,0.014192,16272,2979.0,5018.0,1.158664,1.165095,6.470206,4660,7,48,2324
38,16K,gzip,Thunderbird,0.01333,0.014845,16261,2223.0,20216.0,7.444028,7.394058,6.584735,4680,19,51,5053
38,16K,deflate,Thunderbird,0.018362,0.017132,16261,2313.0,73032.0,9.223345,9.29027,6.584735,4680,19,51,5053
38,16K,lz4,Thunderbird,0.015482,0.016378,16261,3388.0,16999.0,7.612319,7.633567,6.584735,4680,19,51,5053
52,16K,gzip,Thunderbird,0.013523,0.015047,16274,1808.0,6190.0,1.802174,1.764872,6.077456,5799,11,36,2080
52,16K,deflate,Thunderbird,0.022153,0.019941,16274,1888.0,18580.0,2.170482,2.138214,6.077456,5799,11,36,2080
52,16K,lz4,Thunderbird,0.013796,0.015648,16274,2875.0,6511.0,1.81683,1.819431,6.077456,5799,11,36,2080
43,16K,gzip,Thunderbird,0.013648,0.015627,16303,1770.0,3662.0,0.931214,0.936859,6.056382,3925,4,5,2016
43,16K,deflate,Thunderbird,0.016949,0.018088,16303,1769.0,10185.0,1.133403,1.10797,6.056382,3925,4,5,2016
43,16K,lz4,Thunderbird,0.015589,0.015003,16303,3043.0,4768.0,0.943022,0.937547,6.056382,3925,4,5,2016
26,16K,gzip,Thunderbird,0.013616,0.015437,16338,1919.0,5915.0,1.674145,1.654902,6.442672,6099,11,63,2084
26,16K,deflate,Thunderbird,0.026034,0.015718,16338,2037.0,17710.0,2.016163,2.029429,6.442672,6099,11,63,2084
26,16K,lz4,Thunderbird,0.016285,0.016036,16338,3043.0,6334.0,1.709159,1.699819,6.442672,6099,11,63,2084
50,16K,gzip,Thunderbird,0.013571,0.015681,16245,1897.0,8802.0,2.866871,2.873716,6.4888,6123,12,63,2318
50,16K,deflate,Thunderbird,0.020979,0.018319,16245,2020.0,28269.0,3.476902,3.505098,6.4888,6123,12,63,2318
50,16K,lz4,Thunderbird,0.015698,0.015163,16245,2972.0,8100.0,2.930789,2.97188,6.4888,6123,12,63,2318
48,16K,gzip,Thunderbird,0.014199,0.015676,16255,1900.0,4382.0,1.027259,1.026998,6.769699,6337,6,62,2045
48,16K,deflate,Thunderbird,0.021124,0.017632,16255,2037.0,11612.0,1.261709,1.220965,6.769699,6337,6,62,2045
48,16K,lz4,Thunderbird,0.018277,0.017428,16255,3121.0,5331.0,1.053116,1.054402,6.769699,6337,6,62,2045
84,16K,gzip,Thunderbird,0.013664,0.014799,16331,1584.0,4540.0,1.183624,1.184597,6.120574,6212,4,68,2182
84,16K,deflate,Thunderbird,0.021047,0.017197,16331,1756.0,12723.0,1.409991,1.407723,6.120574,6212,4,68,2182
84,16K,lz4,Thunderbird,0.014622,0.015274,16331,2619.0,5255.0,1.213113,1.196897,6.120574,6212,4,68,2182
4,16K,gzip,Thunderbird,0.013724,0.014307,16362,2137.0,6178.0,1.643601,1.665052,7.706367,6430,9,90,2119
4,16K,deflate,Thunderbird,0.020455,0.019293,16362,2305.0,17765.0,1.987772,1.98922,7.706367,6430,9,90,2119
4,16K,lz4,Thunderbird,0.018235,0.016316,16362,3413.0,7062.0,1.6791,1.671632,7.706367,6430,9,90,2119
24,16K,gzip,Thunderbird,0.013554,0.014923,16369,1593.0,5147.0,1.509166,1.491756,7.505528,6494,6,47,1694
24,16K,deflate,Thunderbird,0.019552,0.022439,16369,1720.0,15570.0,1.824234,1.826998,7.505528,6494,6,47,1694
