ChunkId,ChunkSize,Compressor,File,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
86,16K,deflate,HDFS,0.009464,0.008051,16316,3132.0,11262.0,0.37998,0.379873,0.042192,4763,3,276,6534
86,16K,lz4,HDFS,0.003072,0.002895,16316,4978.0,7729.0,0.203669,0.202603,0.042192,4763,3,276,6534
99,16K,gzip,HDFS,0.00363,0.002758,16383,2185.0,5917.0,0.340662,0.331378,0.044379,5731,5,145,6023
99,16K,deflate,HDFS,0.009084,0.008166,16383,2320.0,15929.0,0.617536,0.645959,0.044379,5731,5,145,6023
99,16K,lz4,HDFS,0.004092,0.00375,16383,3595.0,6757.0,0.360368,0.35386,0.044379,5731,5,145,6023
49,16K,gzip,HDFS,0.003691,0.002838,16355,3204.0,5807.0,0.192441,0.198207,0.042712,4175,3,282,6903
49,16K,deflate,HDFS,0.010109,0.00787,16355,3288.0,11462.0,0.351015,0.375088,0.042712,4175,3,282,6903
49,16K,lz4,HDFS,0.003398,0.003255,16355,5195.0,8050.0,0.198254,0.206418,0.042712,4175,3,282,6903
88,16K,gzip,HDFS,0.003644,0.00283,16285,2187.0,6022.0,0.351289,0.340216,0.044299,6022,6,157,5814
88,16K,deflate,HDFS,0.010086,0.008637,16285,2293.0,16356.0,0.640332,0.681141,0.044299,6022,6,157,5814
88,16K,lz4,HDFS,0.003437,0.003308,16285,3550.0,6887.0,0.376611,0.375821,0.044299,6022,6,157,5814
53,16K,gzip,HDFS,0.003345,0.002421,16331,1342.0,2441.0,0.079715,0.080867,0.041632,7070,1,127,5075
53,16K,deflate,HDFS,0.008243,0.007427,16331,1477.0,4829.0,0.159068,0.152475,0.041632,7070,1,127,5075
53,16K,lz4,HDFS,0.005221,0.004688,16331,2179.0,3431.0,0.086121,0.086586,0.041632,7070,1,127,5075
76,16K,gzip,HDFS,0.003632,0.002791,16301,2094.0,5895.0,0.337482,0.355822,0.044763,6079,6,139,5891
76,16K,deflate,HDFS,0.008645,0.007009,16301,2200.0,16240.0,0.662579,0.649706,0.044763,6079,6,139,5891
76,16K,lz4,HDFS,0.003815,0.004126,16301,3350.0,6593.0,0.373186,0.373109,0.044763,6079,6,139,5891
3,16K,gzip,HDFS,0.003543,0.002795,16339,1305.0,2398.0,0.076107,0.084803,0.040383,7070,1,116,5083
3,16K,deflate,HDFS,0.009978,0.007013,16339,1459.0,4780.0,0.154052,0.163421,0.040383,7070,1,116,5083
3,16K,lz4,HDFS,0.003419,0.003174,16339,2115.0,3331.0,0.084803,0.088366,0.040383,7070,1,116,5083
80,16K,gzip,HDFS,0.003659,0.002801,16342,3302.0,5884.0,0.192936,0.196742,0.044297,4209,3,300,6856
80,16K,deflate,HDFS,0.009142,0.007098,16342,3375.0,11560.0,0.368277,0.356566,0.044297,4209,3,300,6856
80,16K,lz4,HDFS,0.00498,0.004586,16342,5281.0,8147.0,0.196282,0.203713,0.044297,4209,3,300,6856
10,16K,gzip,HDFS,0.003677,0.002897,16335,3189.0,5781.0,0.189057,0.195066,0.042174,4451,3,282,6619
10,16K,deflate,HDFS,0.009183,0.006725,16335,3259.0,11490.0,0.375776,0.355996,0.042174,4451,3,282,6619
10,16K,lz4,HDFS,0.004228,0.004076,16335,5268.0,8086.0,0.197997,0.21251,0.042174,4451,3,282,6619
31,16K,gzip,HDFS,0.00341,0.002456,16283,3022.0,5613.0,0.176041,0.18006,0.043195,4687,3,262,6463
31,16K,deflate,HDFS,0.009417,0.005697,16283,3122.0,11308.0,0.359363,0.372294,0.043195,4687,3,262,6463
31,16K,lz4,HDFS,0.004952,0.004853,16283,4970.0,7756.0,0.191581,0.208615,0.043195,4687,3,262,6463
50,16K,gzip,HDFS,0.003612,0.002886,16370,2172.0,6030.0,0.346013,0.357619,0.043926,5681,6,145,5963
50,16K,deflate,HDFS,0.00736,0.006133,16370,2282.0,16357.0,0.672888,0.650189,0.043926,5681,6,145,5963
50,16K,lz4,HDFS,0.004377,0.003936,16370,3707.0,6859.0,0.371621,0.370189,0.043926,5681,6,145,5963
58,16K,gzip,HDFS,0.003624,0.002783,16278,2070.0,5773.0,0.345455,0.340474,0.043611,5703,5,132,6069
58,16K,deflate,HDFS,0.008571,0.006412,16278,2186.0,15782.0,0.654839,0.661388,0.043611,5703,5,132,6069
58,16K,lz4,HDFS,0.003939,0.004591,16278,3502.0,6541.0,0.347429,0.361594,0.043611,5703,5,132,6069
35,16K,gzip,HDFS,0.003593,0.002874,16354,2099.0,5801.0,0.341739,0.349945,0.044961,5393,5,140,5825
35,16K,deflate,HDFS,0.009942,0.006697,16354,2217.0,15583.0,0.642834,0.629236,0.044961,5393,5,140,5825
35,16K,lz4,HDFS,0.00363,0.003808,16354,3543.0,6453.0,0.34809,0.367781,0.044961,5393,5,140,5825
42,16K,gzip,HDFS,0.003627,0.002901,16234,2105.0,5883.0,0.328918,0.359418,0.043131,5334,6,134,6031
42,16K,deflate,HDFS,0.009092,0.007257,16234,2235.0,16243.0,0.665827,0.643531,0.043131,5334,6,134,6031
42,16K,lz4,HDFS,0.003897,0.003599,16234,3601.0,6636.0,0.372505,0.364907,0.043131,5334,6,134,6031
20,16K,gzip,HDFS,0.003577,0.002785,16270,2084.0,5848.0,0.346072,0.345344,0.042743,5860,5,140,5928
20,16K,deflate,HDFS,0.008301,0.006624,16270,2221.0,15872.0,0.667604,0.638899,0.042743,5860,5,140,5928
20,16K,lz4,HDFS,0.003638,0.00319,16270,3440.0,6624.0,0.335524,0.342262,0.042743,5860,5,140,5928
72,16K,gzip,HDFS,0.003626,0.002758,16255,2279.0,6100.0,0.362798,0.34938,0.045977,5333,6,149,5894
72,16K,deflate,HDFS,0.010026,0.007509,16255,2409.0,16449.0,0.674152,0.666031,0.045977,5333,6,149,5894
72,16K,lz4,HDFS,0.002836,0.002896,16255,3924.0,6998.0,0.360208,0.373619,0.045977,5333,6,149,5894
39,16K,gzip,HDFS,0.00359,0.002767,16362,1999.0,5766.0,0.352298,0.34556,0.044957,6015,6,126,6028
39,16K,deflate,HDFS,0.009625,0.007834,16362,2100.0,16099.0,0.63617,0.648665,0.044957,6015,6,126,6028
39,16K,lz4,HDFS,0.004504,0.004534,16362,3251.0,6333.0,0.366354,0.355965,0.044957,6015,6,126,6028
19,16K,gzip,HDFS,0.003616,0.002863,16238,2287.0,6455.0,0.361162,0.377277,0.04173,3655,5,190,8344
19,16K,deflate,HDFS,0.009933,0.007277,16238,2499.0,17333.0,0.696957,0.668459,0.04173,3655,5,190,8344
19,16K,lz4,HDFS,0.003721,0.003748,16238,3776.0,7469.0,0.382496,0.394666,0.04173,3655,5,190,8344
81,16K,gzip,HDFS,0.003536,0.002563,16363,2120.0,5906.0,0.339941,0.360316,0.043809,5592,6,135,6064
81,16K,deflate,HDFS,0.009182,0.006667,16363,2247.0,16221.0,0.628373,0.644594,0.043809,5592,6,135,6064
81,16K,lz4,HDFS,0.002927,0.002838,16363,3540.0,6631.0,0.349097,0.36221,0.043809,5592,6,135,6064
41,16K,gzip,HDFS,0.003595,0.002866,16278,2005.0,4035.0,0.172384,0.180569,0.043264,4843,3,135,5781
41,16K,deflate,HDFS,0.009113,0.006818,16278,2148.0,9318.0,0.342679,0.323459,0.043264,4843,3,135,5781
41,16K,lz4,HDFS,0.003501,0.003136,16278,3668.0,5285.0,0.173037,0.191824,0.043264,4843,3,135,5781
95,16K,gzip,HDFS,0.003663,0.002814,16241,2155.0,5952.0,0.345196,0.333582,0.044977,5697,5,155,5957
95,16K,deflate,HDFS,0.008205,0.007212,16241,2282.0,15987.0,0.666673,0.650681,0.044977,5697,5,155,5957
95,16K,lz4,HDFS,0.00488,0.00341,16241,3610.0,6821.0,0.345666,0.352772,0.044977,5697,5,155,5957
96,16K,gzip,HDFS,0.003687,0.002849,16249,2306.0,6081.0,0.363631,0.346753,0.045785,5140,6,150,5883
96,16K,deflate,HDFS,0.009596,0.006399,16249,2446.0,16188.0,0.653896,0.667137,0.045785,5140,6,150,5883
96,16K,lz4,HDFS,0.00395,0.00347,16249,3879.0,6913.0,0.370277,0.383883,0.045785,5140,6,150,5883
52,16K,gzip,HDFS,0.003596,0.002911,16319,2192.0,5947.0,0.346164,0.337718,0.044665,5846,6,144,5758
52,16K,deflate,HDFS,0.010488,0.008071,16319,2288.0,16296.0,0.6674,0.674114,0.044665,5846,6,144,5758
52,16K,lz4,HDFS,0.004304,0.004332,16319,3636.0,6728.0,0.358186,0.373269,0.044665,5846,6,144,5758
23,16K,gzip,HDFS,0.00365,0.002853,16261,2541.0,7233.0,0.417645,0.405499,0.044821,3919,6,215,8126
23,16K,deflate,HDFS,0.007895,0.007565,16261,2713.0,19296.0,0.795072,0.772606,0.044821,3919,6,215,8126
23,16K,lz4,HDFS,0.003901,0.003867,16261,4063.0,8180.0,0.410078,0.443598,0.044821,3919,6,215,8126
44,16K,gzip,HDFS,0.003593,0.002834,16314,2239.0,5938.0,0.332627,0.339191,0.045011,5528,5,152,5936
44,16K,deflate,HDFS,0.009394,0.00764,16314,2364.0,15980.0,0.638162,0.646329,0.045011,5528,5,152,5936
44,16K,lz4,HDFS,0.003323,0.00268,16314,3737.0,6819.0,0.346973,0.371102,0.045011,5528,5,152,5936
68,16K,gzip,HDFS,0.003579,0.002757,16342,1925.0,5586.0,0.335499,0.373732,0.043505,5521,6,107,5940
68,16K,deflate,HDFS,0.009025,0.005932,16342,2056.0,15984.0,0.665153,0.653557,0.043505,5521,6,107,5940
68,16K,lz4,HDFS,0.003779,0.003249,16342,3277.0,6267.0,0.362358,0.373849,0.043505,5521,6,107,5940
60,16K,gzip,HDFS,0.003591,0.002814,16313,2197.0,8007.0,0.573041,0.573191,0.049123,5761,8,139,6013
60,16K,deflate,HDFS,0.008961,0.008028,16313,2322.0,24525.0,1.083264,1.079603,0.049123,5761,8,139,6013
60,16K,lz4,HDFS,0.003451,0.003319,16313,3584.0,7962.0,0.594962,0.60249,0.049123,5761,8,139,6013
98,16K,gzip,HDFS,0.003618,0.002783,16369,2001.0,5674.0,0.333556,0.342398,0.042133,5491,5,126,6096
98,16K,deflate,HDFS,0.008329,0.005975,16369,2128.0,15691.0,0.643529,0.660911,0.042133,5491,5,126,6096
98,16K,lz4,HDFS,0.004546,0.00456,16369,3453.0,6437.0,0.357879,0.372136,0.042133,5491,5,126,6096
59,16K,gzip,HDFS,0.00335,0.002323,16284,1986.0,5651.0,0.347294,0.338958,0.04328,5826,6,118,5586
59,16K,deflate,HDFS,0.008929,0.00743,16284,2115.0,15994.0,0.673499,0.668175,0.04328,5826,6,118,5586
59,16K,lz4,HDFS,0.004206,0.003132,16284,3508.0,6351.0,0.367518,0.372951,0.04328,5826,6,118,5586
9,16K,gzip,HDFS,0.003649,0.002838,16307,1999.0,5516.0,0.332813,0.333136,0.045168,5338,5,127,5664
9,16K,deflate,HDFS,0.009125,0.007428,16307,2148.0,15312.0,0.64002,0.616418,0.045168,5338,5,127,5664
9,16K,lz4,HDFS,0.004142,0.00412,16307,3499.0,6123.0,0.354145,0.345943,0.045168,5338,5,127,5664
54,16K,gzip,HDFS,0.003645,0.002777,16325,2085.0,5805.0,0.339143,0.35823,0.044267,5512,6,127,5968
54,16K,deflate,HDFS,0.009319,0.006255,16325,2222.0,16128.0,0.652038,0.632517,0.044267,5512,6,127,5968
54,16K,lz4,HDFS,0.003836,0.004213,16325,3545.0,6521.0,0.37126,0.361247,0.044267,5512,6,127,5968
40,16K,gzip,HDFS,0.003697,0.002793,16272,3343.0,5972.0,0.199061,0.19306,0.043124,4037,3,311,6837
40,16K,deflate,HDFS,0.00999,0.006122,16272,3427.0,11674.0,0.360993,0.365481,0.043124,4037,3,311,6837
40,16K,lz4,HDFS,0.003756,0.00339,16272,5453.0,8389.0,0.207847,0.197634,0.043124,4037,3,311,6837
15,16K,gzip,HDFS,0.00361,0.002894,16250,2485.0,7192.0,0.414068,0.423904,0.045339,5083,7,179,6492
