BuildTreeFromTemplateTime,ChunkId,ChunkSize,Compressor,File,MatchTemplateTime,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
3.764663,12,16K,deflate,Android,0.216204,0.017835,0.016672,16299,3802.0,113803.0,13.732996,13.858066,0.293991,4825,64,156,6179
3.764663,12,16K,lz4,Android,0.216204,0.020223,0.011374,16299,5289.0,24385.0,9.944,10.164098,0.293991,4825,64,156,6179
3.764663,13,16K,gzip,Android,0.18479,0.010843,0.011923,16281,3478.0,24951.0,6.831893,6.836843,0.255695,4238,64,159,6107
3.764663,13,16K,deflate,Android,0.18479,0.015994,0.014609,16281,3553.0,83494.0,9.598829,9.557409,0.255695,4238,64,159,6107
3.764663,13,16K,lz4,Android,0.18479,0.013416,0.012569,16281,5054.0,20770.0,7.113483,7.169182,0.255695,4238,64,159,6107
3.764663,14,16K,gzip,Android,0.341549,0.010872,0.012061,16347,2432.0,23805.0,6.797065,6.899143,0.406959,4287,34,57,5595
3.764663,14,16K,deflate,Android,0.341549,0.015886,0.015896,16347,2542.0,82633.0,9.50097,9.589162,0.406959,4287,34,57,5595
3.764663,14,16K,lz4,Android,0.341549,0.015506,0.010744,16347,3579.0,19036.0,7.115253,7.133068,0.406959,4287,34,57,5595
3.764663,15,16K,gzip,Android,0.11961,0.010777,0.011645,16340,2984.0,24939.0,7.193706,7.135756,0.191779,5415,59,120,4540
3.764663,15,16K,deflate,Android,0.11961,0.016339,0.016156,16340,3033.0,85483.0,10.142179,10.173997,0.191779,5415,59,120,4540
3.764663,15,16K,lz4,Android,0.11961,0.011004,0.011405,16340,4334.0,18712.0,7.493699,7.54819,0.191779,5415,59,120,4540
3.764663,16,16K,gzip,Android,0.183212,0.010871,0.011428,16287,2731.0,17488.0,4.890766,4.886975,0.244556,4815,36,103,6072
3.764663,16,16K,deflate,Android,0.183212,0.014959,0.017224,16287,2831.0,59827.0,6.721014,6.680094,0.244556,4815,36,103,6072
3.764663,16,16K,lz4,Android,0.183212,0.013778,0.013189,16287,3936.0,15162.0,5.072409,5.029119,0.244556,4815,36,103,6072
3.764663,17,16K,gzip,Android,0.389398,0.010981,0.011334,16310,4255.0,29744.0,9.028839,8.948048,0.47177,6041,111,95,4266
3.764663,17,16K,deflate,Android,0.389398,0.015801,0.014988,16310,4296.0,105688.0,12.68075,12.82612,0.47177,6041,111,95,4266
3.764663,17,16K,lz4,Android,0.389398,0.012705,0.013138,16310,6129.0,21495.0,9.268993,9.319152,0.47177,6041,111,95,4266
3.764663,18,16K,gzip,Android,0.151246,0.010759,0.011562,16325,3020.0,23513.0,6.848606,6.902353,0.220609,4431,55,88,5723
3.764663,18,16K,deflate,Android,0.151246,0.017339,0.017533,16325,3123.0,82533.0,9.676506,9.641148,0.220609,4431,55,88,5723
3.764663,18,16K,lz4,Android,0.151246,0.01297,0.012209,16325,4355.0,18103.0,7.088643,7.153741,0.220609,4431,55,88,5723
3.764663,19,16K,gzip,Android,0.088025,0.010762,0.011424,16361,3164.0,25164.0,7.55982,7.581521,0.160411,5283,64,116,4338
3.764663,19,16K,deflate,Android,0.088025,0.018283,0.017018,16361,3233.0,89327.0,10.622483,10.704475,0.160411,5283,64,116,4338
