BuildTreeFromTemplateTime,ChunkId,ChunkSize,Compressor,File,MatchTemplateTime,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
6.73241,4,256K,lz4,Thunderbird,12.071835,0.041215,0.041399,262141,32538.0,35819.0,7.615119,7.619518,12.437117,95842,26,402,36706
6.73241,5,256K,gzip,Thunderbird,3.60428,0.042947,0.043083,262100,30067.0,62395.0,49.88857,49.80983,4.068042,82730,318,618,27441
6.73241,5,256K,deflate,Thunderbird,3.60428,0.058358,0.044769,262100,29328.0,191587.0,54.612923,54.655352,4.068042,82730,318,618,27441
6.73241,5,256K,lz4,Thunderbird,3.60428,0.041573,0.040617,262100,44387.0,63018.0,49.928421,49.871464,4.068042,82730,318,618,27441
6.73241,8,256K,gzip,Thunderbird,1.508706,0.043333,0.042596,262030,26558.0,39949.0,21.226331,21.21389,1.914157,78846,53,994,46990
6.73241,8,256K,deflate,Thunderbird,1.508706,0.057416,0.042655,262030,24135.0,93523.0,22.963994,22.952502,1.914157,78846,53,994,46990
6.73241,8,256K,lz4,Thunderbird,1.508706,0.042589,0.040585,262030,45550.0,59705.0,21.411219,21.338771,1.914157,78846,53,994,46990
6.73241,6,256K,gzip,Thunderbird,2.880277,0.042196,0.041851,261957,10898.0,17166.0,13.017949,13.002924,3.245431,114595,30,62,64831
6.73241,6,256K,deflate,Thunderbird,2.880277,0.05136,0.044268,261957,11000.0,50245.0,14.002953,13.916176,3.245431,114595,30,62,64831
6.73241,6,256K,lz4,Thunderbird,2.880277,0.041395,0.040447,261957,17551.0,20503.0,13.02602,13.043124,3.245431,114595,30,62,64831
6.73241,7,256K,gzip,Thunderbird,5.408836,0.0425,0.042247,262093,23498.0,42010.0,21.910791,21.913935,5.807355,77587,50,236,36412
6.73241,7,256K,deflate,Thunderbird,5.408836,0.059728,0.045508,262093,22059.0,98810.0,23.704798,23.676982,5.807355,77587,50,236,36412
6.73241,7,256K,lz4,Thunderbird,5.408836,0.041889,0.040641,262093,39404.0,63876.0,22.016432,22.025835,5.807355,77587,50,236,36412
6.73241,16,256K,gzip,Thunderbird,1.490888,0.043401,0.041838,262028,30828.0,59031.0,48.986217,49.174058,1.946922,85865,294,496,25786
6.73241,16,256K,deflate,Thunderbird,1.490888,0.058308,0.045061,262028,30008.0,189493.0,53.881506,53.842303,1.946922,85865,294,496,25786
6.73241,16,256K,lz4,Thunderbird,1.490888,0.040311,0.041832,262028,43074.0,58006.0,49.237946,49.286194,1.946922,85865,294,496,25786
6.73241,17,256K,gzip,Thunderbird,1.386144,0.042846,0.041513,262106,23132.0,41233.0,35.289063,35.272639,1.813789,82022,231,336,25410
6.73241,17,256K,deflate,Thunderbird,1.386144,0.056053,0.043861,262106,22699.0,135012.0,38.42191,38.558198,1.813789,82022,231,336,25410
6.73241,17,256K,lz4,Thunderbird,1.386144,0.043015,0.041519,262106,34114.0,40743.0,35.407732,35.284238,1.813789,82022,231,336,25410
6.73241,18,256K,gzip,Thunderbird,3.494988,0.04293,0.041572,262125,25790.0,42036.0,21.836109,21.842326,3.898487,105486,53,1131,43394
6.73241,18,256K,deflate,Thunderbird,3.494988,0.058401,0.042666,262125,24258.0,97233.0,23.67614,23.666981,3.898487,105486,53,1131,43394
6.73241,18,256K,lz4,Thunderbird,3.494988,0.04226,0.041968,262125,41505.0,58307.0,21.901919,21.909646,3.898487,105486,53,1131,43394
6.73241,19,256K,gzip,Thunderbird,13.008593,0.042089,0.041712,261966,18286.0,56361.0,42.339093,42.431895,13.4279,63125,69,214,92781
6.73241,19,256K,deflate,Thunderbird,13.008593,0.057005,0.042899,261966,18223.0,168730.0,46.35732,46.356823,13.4279,63125,69,214,92781
6.73241,19,256K,lz4,Thunderbird,13.008593,0.0458,0.040606,261966,30377.0,65609.0,42.551844,42.624173,13.4279,63125,69,214,92781
6.73241,20,256K,gzip,Thunderbird,0.362605,0.042158,0.043349,262068,20885.0,29237.0,6.862743,6.857082,0.745101,58066,13,2826,56756
