ChunkId,ChunkSize,Compressor,File,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
71,256K,deflate,Windows,0.025071,0.006689,262054,18301.0,108830.0,5.807397,5.853143,1.981741,98062,21,521,116819
71,256K,lz4,Windows,0.004004,0.003727,262054,29684.0,36780.0,3.391425,3.463199,1.981741,98062,21,521,116819
1,256K,gzip,Windows,0.005726,0.004284,261980,11287.0,82653.0,8.597442,8.629568,11.621319,93311,104,602,114061
1,256K,deflate,Windows,0.021825,0.006781,261980,11905.0,277565.0,17.058682,17.324148,11.621319,93311,104,602,114061
1,256K,lz4,Windows,0.00546,0.005367,261980,16883.0,73403.0,9.734196,9.835923,11.621319,93311,104,602,114061
99,256K,gzip,Windows,0.005915,0.004156,261911,18001.0,36274.0,2.873778,2.889668,2.11225,96648,20,544,118181
99,256K,deflate,Windows,0.024463,0.006732,261911,18178.0,102335.0,5.360464,5.414065,2.11225,96648,20,544,118181
99,256K,lz4,Windows,0.004992,0.004518,261911,29106.0,37740.0,3.267858,3.275291,2.11225,96648,20,544,118181
67,256K,gzip,Windows,0.005556,0.004018,262129,17540.0,31789.0,2.613465,2.516521,2.235393,95988,19,390,119008
67,256K,deflate,Windows,0.021137,0.006184,262129,17568.0,95500.0,4.964847,4.913791,2.235393,95988,19,390,119008
67,256K,lz4,Windows,0.005404,0.005024,262129,28542.0,30463.0,2.826583,2.89926,2.235393,95988,19,390,119008
81,256K,gzip,Windows,0.005718,0.003951,262080,17215.0,35179.0,2.923583,2.904644,2.356414,95632,21,377,119056
81,256K,deflate,Windows,0.0266,0.006305,262080,17793.0,108324.0,5.508851,5.678493,2.356414,95632,21,377,119056
81,256K,lz4,Windows,0.00475,0.004545,262080,12100.0,32843.0,3.235218,3.336023,2.356414,95632,21,377,119056
15,256K,gzip,Windows,0.005722,0.004247,262052,17467.0,34659.0,2.78819,2.834931,2.243878,95912,20,479,119044
15,256K,deflate,Windows,0.023543,0.006287,262052,17806.0,101113.0,5.256557,5.294829,2.243878,95912,20,479,119044
15,256K,lz4,Windows,0.00442,0.004072,262052,28506.0,34353.0,3.092523,3.084563,2.243878,95912,20,479,119044
43,256K,gzip,Windows,0.005212,0.003966,261886,5471.0,32332.0,2.977248,2.991652,7.001377,64079,21,282,147737
43,256K,deflate,Windows,0.023877,0.006372,261886,6182.0,104426.0,5.684716,5.730382,7.001377,64079,21,282,147737
43,256K,lz4,Windows,0.004653,0.005706,261886,9737.0,31709.0,3.249638,3.423317,7.001377,64079,21,282,147737
57,256K,gzip,Windows,0.005785,0.004104,262084,13177.0,35627.0,3.165049,3.20085,3.446444,94073,26,304,116442
57,256K,deflate,Windows,0.028465,0.006647,262084,14350.0,114069.0,6.145988,6.116953,3.446444,94073,26,304,116442
57,256K,lz4,Windows,0.00707,0.006711,262084,12798.0,35184.0,3.585246,3.609851,3.446444,94073,26,304,116442
48,256K,gzip,Windows,0.005958,0.004325,261905,18701.0,32979.0,2.870153,2.876287,1.710332,100420,20,364,114147
48,256K,deflate,Windows,0.025535,0.006491,261905,18918.0,100036.0,5.539462,5.492266,1.710332,100420,20,364,114147
48,256K,lz4,Windows,0.005603,0.005263,261905,30769.0,31569.0,3.133094,3.310507,1.710332,100420,20,364,114147
31,256K,gzip,Windows,0.005856,0.004179,261896,18646.0,18041.0,0.706606,0.704819,1.606296,100492,5,497,114185
31,256K,deflate,Windows,0.025224,0.006689,261896,18776.0,34475.0,1.259135,1.255398,1.606296,100492,5,497,114185
31,256K,lz4,Windows,0.00693,0.006061,261896,30708.0,25173.0,0.808404,0.802138,1.606296,100492,5,497,114185
55,256K,gzip,Windows,0.006001,0.004241,261952,18575.0,34619.0,3.272493,3.252636,1.678899,100617,22,345,114082
55,256K,deflate,Windows,0.025763,0.006785,261952,18741.0,108360.0,6.300573,6.151177,1.678899,100617,22,345,114082
55,256K,lz4,Windows,0.005806,0.005194,261952,30732.0,32507.0,3.625682,3.674721,1.678899,100617,22,345,114082
52,256K,gzip,Windows,0.006693,0.004614,262120,18747.0,33753.0,2.906919,2.957828,1.66431,100654,20,498,114167
52,256K,deflate,Windows,0.023679,0.006988,262120,18931.0,99657.0,5.584997,5.534665,1.66431,100654,20,498,114167
52,256K,lz4,Windows,0.006204,0.006433,262120,30875.0,33072.0,3.289677,3.282275,1.66431,100654,20,498,114167
93,256K,gzip,Windows,0.005988,0.00439,262019,18253.0,16519.0,0.725073,0.699351,1.588343,100317,5,456,114575
93,256K,deflate,Windows,0.024713,0.006578,262019,18410.0,32469.0,1.253817,1.257962,1.588343,100317,5,456,114575
93,256K,lz4,Windows,0.005665,0.005285,262019,30185.0,22455.0,0.77217,0.778707,1.588343,100317,5,456,114575
7,256K,gzip,Windows,0.006007,0.004218,262045,17581.0,34023.0,3.088246,3.117874,2.199971,96510,21,405,117457
7,256K,deflate,Windows,0.027317,0.006982,262045,17868.0,104325.0,5.842733,5.868718,2.199971,96510,21,405,117457
7,256K,lz4,Windows,0.004393,0.00408,262045,28439.0,33240.0,3.473239,3.522306,2.199971,96510,21,405,117457
28,256K,gzip,Windows,0.006166,0.004349,262079,17769.0,34992.0,2.766597,2.770059,2.239287,96105,18,569,118801
28,256K,deflate,Windows,0.023802,0.006824,262079,17802.0,95957.0,5.246262,5.202347,2.239287,96105,18,569,118801
28,256K,lz4,Windows,0.005186,0.00499,262079,28968.0,35972.0,3.026,3.175663,2.239287,96105,18,569,118801
83,256K,gzip,Windows,0.006098,0.004388,262000,18442.0,31113.0,2.776598,2.842181,1.689224,100498,19,348,114167
83,256K,deflate,Windows,0.023282,0.006978,262000,18565.0,92673.0,5.275735,5.385258,1.689224,100498,19,348,114167
83,256K,lz4,Windows,0.006341,0.006842,262000,30044.0,30619.0,3.171038,3.15998,1.689224,100498,19,348,114167
60,256K,gzip,Windows,0.006081,0.004527,262012,18452.0,35467.0,3.448188,3.404393,1.689202,100539,23,345,114211
60,256K,deflate,Windows,0.023966,0.006591,262012,18673.0,111125.0,6.480839,6.458895,1.689202,100539,23,345,114211
60,256K,lz4,Windows,0.005541,0.005019,262012,30559.0,32591.0,3.798446,3.785879,1.689202,100539,23,345,114211
70,256K,gzip,Windows,0.005901,0.004504,262065,17352.0,33246.0,2.950694,3.027892,2.521126,94624,20,374,120130
70,256K,deflate,Windows,0.023734,0.006687,262065,17916.0,101456.0,5.627257,5.573317,2.521126,94624,20,374,120130
70,256K,lz4,Windows,0.004716,0.003853,262065,15970.0,31175.0,3.29399,3.342054,2.521126,94624,20,374,120130
82,256K,gzip,Windows,0.005736,0.00426,261923,8241.0,38831.0,3.778274,3.863486,5.243917,79757,26,381,128974
82,256K,deflate,Windows,0.024904,0.006667,261923,9145.0,125181.0,7.105754,7.089929,5.243917,79757,26,381,128974
82,256K,lz4,Windows,0.006223,0.005327,261923,12855.0,38888.0,4.320166,4.346702,5.243917,79757,26,381,128974
34,256K,gzip,Windows,0.006087,0.004329,262012,17450.0,31820.0,2.917656,2.922861,2.214308,96008,19,386,118868
34,256K,deflate,Windows,0.027541,0.007352,262012,17605.0,95357.0,5.464397,5.41999,2.214308,96008,19,386,118868
34,256K,lz4,Windows,0.005792,0.005792,262012,28566.0,30736.0,3.300407,3.380577,2.214308,96008,19,386,118868
73,256K,gzip,Windows,0.006193,0.004332,262105,18727.0,17759.0,0.743932,0.727887,1.603191,100506,5,503,114383
73,256K,deflate,Windows,0.024748,0.006744,262105,18916.0,33726.0,1.317747,1.303429,1.603191,100506,5,503,114383
73,256K,lz4,Windows,0.004616,0.005044,262105,30776.0,23906.0,0.783277,0.823455,1.603191,100506,5,503,114383
54,256K,gzip,Windows,0.0061,0.004376,262012,17941.0,35085.0,3.012678,3.004032,2.240982,95903,19,490,119019
54,256K,deflate,Windows,0.022752,0.006961,262012,17795.0,100055.0,5.589346,5.679066,2.240982,95903,19,490,119019
54,256K,lz4,Windows,0.00687,0.005522,262012,28697.0,35307.0,3.340661,3.362102,2.240982,95903,19,490,119019
13,256K,gzip,Windows,0.006225,0.004533,262032,18541.0,38040.0,3.261969,3.287313,1.844005,99095,21,528,115790
13,256K,deflate,Windows,0.023677,0.007058,262032,18730.0,108433.0,6.080776,6.202648,1.844005,99095,21,528,115790
13,256K,lz4,Windows,0.005881,0.006381,262032,30234.0,39016.0,3.640551,3.671145,1.844005,99095,21,528,115790
41,256K,gzip,Windows,0.00615,0.004546,262010,19146.0,36208.0,3.370404,3.436071,1.705951,100120,21,446,114711
41,256K,deflate,Windows,0.0261,0.007025,262010,19121.0,107894.0,6.346984,6.302755,1.705951,100120,21,446,114711
41,256K,lz4,Windows,0.006604,0.006246,262010,30978.0,34783.0,3.715308,3.799857,1.705951,100120,21,446,114711
20,256K,gzip,Windows,0.006307,0.004916,261973,18087.0,32954.0,3.583158,3.556201,1.770913,99046,21,201,115928
20,256K,deflate,Windows,0.026312,0.007104,261973,18569.0,108781.0,6.617243,6.587051,1.770913,99046,21,201,115928
20,256K,lz4,Windows,0.0118,0.004546,261973,12290.0,28955.0,3.892076,3.995837,1.770913,99046,21,201,115928
88,256K,gzip,Windows,0.006584,0.004823,262059,17396.0,31535.0,3.036245,3.078385,2.245694,95987,19,385,118939
88,256K,deflate,Windows,0.026014,0.006949,262059,17481.0,95135.0,5.604408,5.666669,2.245694,95987,19,385,118939
88,256K,lz4,Windows,0.004869,0.004095,262059,28507.0,30408.0,3.363507,3.390654,2.245694,95987,19,385,118939
96,256K,gzip,Windows,0.005935,0.00458,262122,8731.0,39683.0,4.012916,4.060034,4.80294,85315,27,387,123509
96,256K,deflate,Windows,0.02606,0.00719,262122,9852.0,126271.0,7.477658,7.420792,4.80294,85315,27,387,123509
96,256K,lz4,Windows,0.005978,0.005981,262122,13455.0,41112.0,4.364973,4.458846,4.80294,85315,27,387,123509
97,256K,gzip,Windows,0.006279,0.004585,261922,18751.0,21042.0,1.438919,1.5108,1.595546,100417,9,432,114329
97,256K,deflate,Windows,0.027126,0.007214,261922,18764.0,51142.0,2.614058,2.596143,1.595546,100417,9,432,114329
97,256K,lz4,Windows,0.007684,0.007044,261922,30587.0,24468.0,1.582706,1.603342,1.595546,100417,9,432,114329
62,256K,gzip,Windows,0.007128,0.005278,262022,17478.0,31786.0,3.120182,3.120338,2.259623,95987,19,385,118902
62,256K,deflate,Windows,0.025545,0.007246,262022,17643.0,95274.0,5.660818,5.68492,2.259623,95987,19,385,118902
62,256K,lz4,Windows,0.006975,0.00561,262022,28389.0,30561.0,3.381272,3.423133,2.259623,95987,19,385,118902
77,256K,gzip,Windows,0.006441,0.004893,262076,17955.0,32753.0,3.280922,3.30746,1.902401,98559,20,359,116200
77,256K,deflate,Windows,0.026036,0.007191,262076,18028.0,99881.0,5.976248,5.951683,1.902401,98559,20,359,116200
77,256K,lz4,Windows,0.005399,0.005273,262076,29172.0,32359.0,3.565545,3.66927,1.902401,98559,20,359,116200
44,256K,gzip,Windows,0.006296,0.004534,261987,18442.0,34087.0,3.254505,3.299848,1.914023,98454,21,377,115929
44,256K,deflate,Windows,0.026699,0.006921,261987,18435.0,104774.0,6.198246,6.217953,1.914023,98454,21,377,115929
44,256K,lz4,Windows,0.005504,0.005625,261987,29551.0,31937.0,3.674085,3.723941,1.914023,98454,21,377,115929
21,256K,gzip,Windows,0.006046,0.004597,261940,17514.0,34236.0,3.30979,3.333344,2.19182,96405,21,409,117503
21,256K,deflate,Windows,0.027105,0.007345,261940,17932.0,104533.0,6.084923,6.120625,2.19182,96405,21,409,117503
21,256K,lz4,Windows,0.004446,0.004299,261940,28171.0,33598.0,3.590969,3.698929,2.19182,96405,21,409,117503
50,256K,gzip,Windows,0.006508,0.004696,262033,18146.0,32002.0,3.47443,3.541031,1.764358,99453,22,197,115223
50,256K,deflate,Windows,0.026846,0.007202,262033,18778.0,107359.0,6.618194,6.605899,1.764358,99453,22,197,115223
50,256K,lz4,Windows,0.006346,0.006804,262033,15451.0,27100.0,3.887839,3.916708,1.764358,99453,22,197,115223
27,256K,gzip,Windows,0.006226,0.004515,261898,18629.0,36248.0,3.661221,3.762492,1.705112,100578,23,348,114052
27,256K,deflate,Windows,0.02407,0.007095,261898,18968.0,114103.0,6.925696,7.071049,1.705112,100578,23,348,114052
27,256K,lz4,Windows,0.007239,0.006928,261898,30626.0,33441.0,4.10083,4.249594,1.705112,100578,23,348,114052
